      OBS    SUBJ    ORDER    TRTMT    NUMBER    COLOR     Y    COUNT
       63      7       9        6         2        3      22       7 
       64      8       1        3         1        3      10       7 
       65      8       2        8         3        2      25      16 
       66      8       3        9         3        3      25      16 
       67      8       4        5         2        2      25       4 
       68      8       5        6         2        3      25       4 
       69      8       6        7         3        1      25      16 
       70      8       7        4         2        1      15      14 
       71      8       8        2         1        2      10       7 
       72      8       9        1         1        1      15       2 
       73      9       1        9         3        3      20      21 
       74      9       2        3         1        3      15       2 
       75      9       3        6         2        3      19      10 
       76      9       4        8         3        2      17      24 
       77      9       5        1         1        1      11       6 
       78      9       6        5         2        2      16      13 
       79      9       7        2         1        2      15       2 
       80      9       8        4         2        1      21       8 
       81      9       9        7         3        1      21      20 
       82     10       1        9         3        3      25      16 
       83     10       2        7         3        1      21      20 
       84     10       3        5         2        2      23       6 
       85     10       4        4         2        1      23       6 
       86     10       5        1         1        1      10       7 
       87     10       6        6         2        3      23       6 
       88     10       7        2         1        2      15       2 
       89     10       8        3         1        3      14       3 
       90     10       9        8         3        2      27      14 
       91     11       1        2         1        2      15       2 
       92     11       2        5         2        2      25       4 
       93     11       3        8         3        2      30      11 
       94     11       4        3         1        3      15       2 
       95     11       5        4         2        1      20       9 
       96     11       6        9         3        3      40       1 
       97     11       7        6         2        3      25       4 
       98     11       8        7         3        1      45      -4 
       99     11       9        1         1        1      10       7 
      100     12       1        3         1        3      21      -4 
      101     12       2        6         2        3      40     -11 
      102     12       3        9         3        3      45      -4 
      103     12       4        1         1        1      20      -3 
      104     12       5        5         2        2      25       4 
      105     12       6        7         3        1      30      11 
      106     12       7        4         2        1      30      -1 
      107     12       8        8         3        2      40       1 
      108     12       9        2         1        2      20      -3 
      109     13       1        4         2        1      25       4 
      110     13       2        2         1        2      18      -1 
      111     13       3        1         1        1      15       2 
      112     13       4        8         3        2      30      11 
      113     13       5        7         3        1      30      11 
      114     13       6        3         1        3      20      -3 
      115     13       7        9         3        3      40       1 
      116     13       8        5         2        2      30      -1 
      117     13       9        6         2        3      18      11 
      118     14       1        5         2        2      27       2 
      119     14       2        3         1        3      24      -7 
      120     14       3        2         1        2      26      -9 
      121     14       4        9         3        3      33       8 
      122     14       5        8         3        2      43      -2 
      123     14       6        1         1        1      23      -6 
      124     14       7        7         3        1      50      -9 
      125     14       8        6         2        3      25       4 
      126     14       9        4         2        1      27       2 
      127     15       1        7         3        1      20      21 
      128     15       2        8         3        2      20      21 
      129     15       3        6         2        3      15      14 
      130     15       4        5         2        2      15      14 
      131     15       5        2         1        2      13       4 
      132     15       6        4         2        1      13      16 
      133     15       7        3         1        3      17       0 
      134     15       8        1         1        1      12       5 
      135     15       9        9         3        3      30      11 
      136     16       1        1         1        1      15       2 
      137     16       2        4         2        1      20       9 
      138     16       3        7         3        1      20      21 
      139     16       4        2         1        2      11       6 
      140     16       5        6         2        3      20       9 
      141     16       6        8         3        2      23      18 
      142     16       7        5         2        2      20       9 
      143     16       8        9         3        3      25      16 
      144     16       9        3         1        3      15       2 
      145     17       1        8         3        2      35       6 
      146     17       2        9         3        3      35       6 
      147     17       3        4         2        1      30      -1 
      148     17       4        6         2        3      30      -1 
      149     17       5        3         1        3      15       2 
      150     17       6        5         2        2      25       4 
      151     17       7        1         1        1      20      -3 
      152     17       8        2         1        2      18      -1 
      153     17       9        7         3        1      35       6 
      154     18       1        6         2        3      25       4 
      155     18       2        1         1        1      15       2 
      156     18       3        3         1        3      15       2 
      157     18       4        7         3        1      30      11 
      158     18       5        9         3        3      35       6 
      159     18       6        2         1        2      15       2 
      160     18       7        8         3        2      35       6 
      161     18       8        4         2        1      30      -1 
      162     18       9        5         2        2      25       4 
