A B C D E F G    H  P  J  K  L  M  N   Y
0 2 0 2 2 1 1    1  1  0  1  0  0  1  0.93
0 2 1 0 0 2 2    0  0  0  0  0  0  0  1.85
0 2 1 0 0 2 2    0  0  0  1  1  1  1  9.46
0 2 1 0 0 2 2    0  1  1  0  0  1  1  9.42
0 2 1 0 0 2 2    0  1  1  1  1  0  0  1.82
0 2 1 0 0 2 2    1  0  1  0  1  0  1  9.19
0 2 1 0 0 2 2    1  0  1  1  0  1  0  1.90
0 2 1 0 0 2 2    1  1  0  0  1  1  0  1.92
0 2 1 0 0 2 2    1  1  0  1  0  0  1  9.35
0 2 2 1 1 0 0    0  0  0  0  0  0  0  0.52
0 2 2 1 1 0 0    0  0  0  1  1  1  1  2.73
0 2 2 1 1 0 0    0  1  1  0  0  1  1  2.72
0 2 2 1 1 0 0    0  1  1  1  1  0  0  0.51
0 2 2 1 1 0 0    1  0  1  0  1  0  1  2.61
0 2 2 1 1 0 0    1  0  1  1  0  1  0  0.55
0 2 2 1 1 0 0    1  1  0  0  1  1  0  0.56
0 2 2 1 1 0 0    1  1  0  1  0  0  1  2.64
1 0 0 1 2 1 2    0  0  0  0  0  0  0  0.29
1 0 0 1 2 1 2    0  0  0  1  1  1  1  1.56
1 0 0 1 2 1 2    0  1  1  0  0  1  1  1.56
1 0 0 1 2 1 2    0  1  1  1  1  0  0  0.29
1 0 0 1 2 1 2    1  0  1  0  1  0  1  1.45
1 0 0 1 2 1 2    1  0  1  1  0  1  0  0.31
1 0 0 1 2 1 2    1  1  0  0  1  1  0  0.32
1 0 0 1 2 1 2    1  1  0  1  0  0  1  1.47
1 0 1 2 0 2 0    0  0  0  0  0  0  0  0.95
1 0 1 2 0 2 0    0  0  0  1  1  1  1  4.98
1 0 1 2 0 2 0    0  1  1  0  0  1  1  4.93
1 0 1 2 0 2 0    0  1  1  1  1  0  0  0.94
1 0 1 2 0 2 0    1  0  1  0  1  0  1  4.79
1 0 1 2 0 2 0    1  0  1  1  0  1  0  0.99
1 0 1 2 0 2 0    1  1  0  0  1  1  0  1.00
1 0 1 2 0 2 0    1  1  0  1  0  0  1  4.82
1 0 2 0 1 0 1    0  0  0  0  0  0  0  1.16
1 0 2 0 1 0 1    0  0  0  1  1  1  1  6.09
1 0 2 0 1 0 1    0  1  1  0  0  1  1  6.09
1 0 2 0 1 0 1    0  1  1  1  1  0  0  1.13
1 0 2 0 1 0 1    1  0  1  0  1  0  1  5.70
1 0 2 0 1 0 1    1  0  1  1  0  1  0  1.21
1 0 2 0 1 0 1    1  1  0  0  1  1  0  1.26
1 0 2 0 1 0 1    1  1  0  1  0  0  1  5.93
1 1 0 2 0 0 1    0  0  0  0  0  0  0  0.26
1 1 0 2 0 0 1    0  0  0  1  1  1  1  1.45
1 1 0 2 0 0 1    0  1  1  0  0  1  1  1.45
1 1 0 2 0 0 1    0  1  1  1  1  0  0  0.25
1 1 0 2 0 0 1    1  0  1  0  1  0  1  1.30
1 1 0 2 0 0 1    1  0  1  1  0  1  0  0.29
1 1 0 2 0 0 1    1  1  0  0  1  1  0  0.30
1 1 0 2 0 0 1    1  1  0  1  0  0  1  1.30
1 1 1 0 1 1 2    0  0  0  0  0  0  0  1.15
1 1 1 0 1 1 2    0  0  0  1  1  1  1  5.99
1 1 1 0 1 1 2    0  1  1  0  0  1  1  5.92
1 1 1 0 1 1 2    0  1  1  1  1  0  0  1.13
1 1 1 0 1 1 2    1  0  1  0  1  0  1  5.69
1 1 1 0 1 1 2    1  0  1  1  0  1  0  1.19
1 1 1 0 1 1 2    1  1  0  0  1  1  0  1.22
1 1 1 0 1 1 2    1  1  0  1  0  0  1  5.84
1 1 2 1 2 2 0    0  0  0  0  0  0  0  0.85
1 1 2 1 2 2 0    0  0  0  1  1  1  1  4.31
1 1 2 1 2 2 0    0  1  1  0  0  1  1  4.30
1 1 2 1 2 2 0    0  1  1  1  1  0  0  0.84
1 1 2 1 2 2 0    1  0  1  0  1  0  1  4.23
1 1 2 1 2 2 0    1  0  1  1  0  1  0  0.86
1 1 2 1 2 2 0    1  1  0  0  1  1  0  0.88
1 1 2 1 2 2 0    1  1  0  1  0  0  1  4.28
1 2 0 0 1 2 0    0  0  0  0  0  0  0  1.10
1 2 0 0 1 2 0    0  0  0  1  1  1  1  5.74
1 2 0 0 1 2 0    0  1  1  0  0  1  1  5.67
1 2 0 0 1 2 0    0  1  1  1  1  0  0  1.07
1 2 0 0 1 2 0    1  0  1  0  1  0  1  5.43
1 2 0 0 1 2 0    1  0  1  1  0  1  0  1.14
1 2 0 0 1 2 0    1  1  0  0  1  1  0  1.17
1 2 0 0 1 2 0    1  1  0  1  0  0  1  5.57
1 2 1 1 2 0 1    0  0  0  0  0  0  0  0.29
1 2 1 1 2 0 1    0  0  0  1  1  1  1  1.55
1 2 1 1 2 0 1    0  1  1  0  0  1  1  1.55
1 2 1 1 2 0 1    0  1  1  1  1  0  0  0.28
1 2 1 1 2 0 1    1  0  1  0  1  0  1  1.45
1 2 1 1 2 0 1    1  0  1  1  0  1  0  0.31
1 2 1 1 2 0 1    1  1  0  0  1  1  0  0.32
1 2 1 1 2 0 1    1  1  0  1  0  0  1  1.47
1 2 2 2 0 1 2    0  0  0  0  0  0  0  0.91
1 2 2 2 0 1 2    0  0  0  1  1  1  1  4.64
1 2 2 2 0 1 2    0  1  1  0  0  1  1  4.66
1 2 2 2 0 1 2    0  1  1  1  1  0  0  0.90
1 2 2 2 0 1 2    1  0  1  0  1  0  1  4.56
1 2 2 2 0 1 2    1  0  1  1  0  1  0  0.94
1 2 2 2 0 1 2    1  1  0  0  1  1  0  0.95
1 2 2 2 0 1 2    1  1  0  1  0  0  1  4.57
2 0 0 2 1 2 1    0  0  0  0  0  0  0  0.39
2 0 0 2 1 2 1    0  0  0  1  1  1  1  2.05
2 0 0 2 1 2 1    0  1  1  0  0  1  1  2.06
2 0 0 2 1 2 1    0  1  1  1  1  0  0  0.39
2 0 0 2 1 2 1    1  0  1  0  1  0  1  1.96
2 0 0 2 1 2 1    1  0  1  1  0  1  0  0.41
2 0 0 2 1 2 1    1  1  0  0  1  1  0  0.42
2 0 0 2 1 2 1    1  1  0  1  0  0  1  1.97
2 0 1 0 2 0 2    0  0  0  0  0  0  0  0.67
2 0 1 0 2 0 2    0  0  0  1  1  1  1  3.61
2 0 1 0 2 0 2    0  1  1  0  0  1  1  3.57
2 0 1 0 2 0 2    0  1  1  1  1  0  0  0.65
2 0 1 0 2 0 2    1  0  1  0  1  0  1  3.27
2 0 1 0 2 0 2    1  0  1  1  0  1  0  0.72
2 0 1 0 2 0 2    1  1  0  0  1  1  0  0.74
2 0 1 0 2 0 2    1  1  0  1  0  0  1  3.41
2 0 2 1 0 1 0    0  0  0  0  0  0  0  1.42
2 0 2 1 0 1 0    0  0  0  1  1  1  1  7.31
2 0 2 1 0 1 0    0  1  1  0  0  1  1  7.38
2 0 2 1 0 1 0    0  1  1  1  1  0  0  1.41
2 0 2 1 0 1 0    1  0  1  0  1  0  1  7.14
2 0 2 1 0 1 0    1  0  1  1  0  1  0  1.48
2 0 2 1 0 1 0    1  1  0  0  1  1  0  1.51
2 0 2 1 0 1 0    1  1  0  1  0  0  1  7.24
2 1 0 0 2 1 0    0  0  0  0  0  0  0  0.69
2 1 0 0 2 1 0    0  0  0  1  1  1  1  3.66
2 1 0 0 2 1 0    0  1  1  0  0  1  1  3.60
2 1 0 0 2 1 0    0  1  1  1  1  0  0  0.67
2 1 0 0 2 1 0    1  0  1  0  1  0  1  3.37
2 1 0 0 2 1 0    1  0  1  1  0  1  0  0.73
2 1 0 0 2 1 0    1  1  0  0  1  1  0  0.74
2 1 0 0 2 1 0    1  1  0  1  0  0  1  3.47
2 1 1 1 0 2 1    0  0  0  0  0  0  0  1.18
2 1 1 1 0 2 1    0  0  0  1  1  1  1  6.04
2 1 1 1 0 2 1    0  1  1  0  0  1  1  6.06
2 1 1 1 0 2 1    0  1  1  1  1  0  0  1.17
2 1 1 1 0 2 1    1  0  1  0  1  0  1  5.90
2 1 1 1 0 2 1    1  0  1  1  0  1  0  1.21
2 1 1 1 0 2 1    1  1  0  0  1  1  0  1.23
2 1 1 1 0 2 1    1  1  0  1  0  0  1  5.95
2 1 2 2 1 0 2    0  0  0  0  0  0  0  0.37
2 1 2 2 1 0 2    0  0  0  1  1  1  1  1.95
2 1 2 2 1 0 2    0  1  1  0  0  1  1  1.95
2 1 2 2 1 0 2    0  1  1  1  1  0  0  0.37
2 1 2 2 1 0 2    1  0  1  0  1  0  1  1.87 
2 1 2 2 1 0 2    1  0  1  1  0  1  0  0.39
2 1 2 2 1 0 2    1  1  0  0  1  1  0  0.40
2 1 2 2 1 0 2    1  1  0  1  0  0  1  1.88
2 2 0 1 0 0 2    0  0  0  0  0  0  0  0.39
2 2 0 1 0 0 2    0  0  0  1  1  1  1  2.15
2 2 0 1 0 0 2    0  1  1  0  0  1  1  2.16
2 2 0 1 0 0 2    0  1  1  1  1  0  0  0.38
2 2 0 1 0 0 2    1  0  1  0  1  0  1  1.94
2 2 0 1 0 0 2    1  0  1  1  0  1  0  0.44
2 2 0 1 0 0 2    1  1  0  0  1  1  0  0.44
2 2 0 1 0 0 2    1  1  0  1  0  0  1  1.96
2 2 1 2 1 1 0    0  0  0  0  0  0  0  0.44
2 2 1 2 1 1 0    0  0  0  1  1  1  1  2.29
2 2 1 2 1 1 0    0  1  1  0  0  1  1  2.29
2 2 1 2 1 1 0    0  1  1  1  1  0  0  0.43
2 2 1 2 1 1 0    1  0  1  0  1  0  1  2.21
2 2 1 2 1 1 0    1  0  1  1  0  1  0  0.46
2 2 1 2 1 1 0    1  1  0  0  1  1  0  0.47
2 2 1 2 1 1 0    1  1  0  1  0  0  1  2.22
2 2 2 0 2 2 1    0  0  0  0  0  0  0  1.84
2 2 2 0 2 2 1    0  0  0  1  1  1  1  9.35
2 2 2 0 2 2 1    0  1  1  0  0  1  1  9.19
2 2 2 0 2 2 1    0  1  1  1  1  0  0  1.79
2 2 2 0 2 2 1    1  0  1  0  1  0  1  9.06
2 2 2 0 2 2 1    1  0  1  1  0  1  0  1.85
2 2 2 0 2 2 1    1  1  0  0  1  1  0  1.89
2 2 2 0 2 2 1    1  1  0  1  0  0  1  9.28
